TotalDistance_km,Calories,VeryActiveHours,FairlyActiveHours,LightlyActiveHours,SedentaryHours
4.08,1397,0,0,4.03,11.87
5.96,1481,0.55,0.2,3.13,12.18
8.07,1638,0,1.53,4.2,12.07
10,1655,0.5,1.58,2.15,11
8.48,1570,0.83,0.15,2.22,13.02
7.62,1551,0.12,1.58,2.83,13.28
5.04,1377,0,0.17,2.93,11.9
4.88,1407,0.25,0.13,3.17,13.4
7.75,1545,0.6,0.53,2.5,12.4
9.2,1650,0.72,0.87,3.23,11.45
7.07,1501,0.68,0.67,2.07,11.52
11.05,1760,0.4,2.38,2.93,11.88
9.59,1710,0.78,0.68,4.3,9.9
9.44,1628,0.23,1.6,2.37,14.2
8.58,1618,0.23,1.47,2.97,11.33
8.28,1590,0.48,0.92,2.8,11.27
7.73,1574,0,1.43,3.47,11.72
9.09,1633,0.15,1.93,2.85,11.47
10.08,1667,0.13,2.03,2.52,19.32
8.78,1630,0.02,1.92,3.27,11.27
0.5,52,0.07,0,0.15,0.22
6.12,3654,0.07,0.25,5.52,11.87
0,1981,0,0,0,24
0.08,2011,0,0,0.05,23.95
1.35,2951,0.6,0.3,1.45,21.65
1.42,3051,1.08,0.35,0.92,20.37
0.01,1990,0,0,0.03,23.97
0.04,1995,0,0,0.03,23.97
0,1980,0,0,0,24
0,1980,0,0,0,24
0,1980,0,0,0,24
0,1980,0,0,0,24
0,1980,0,0,0,24
0,1980,0,0,0,24
0,1980,0,0,0,24
0,1980,0,0,0,24
0,1980,0,0,0,24
0,1980,0,0,0,24
0,1980,0,0,0,24
0,1980,0,0,0,24
0,1980,0,0,0,24
0.34,2207,0,0.18,0.52,22.5
3.22,2828,0,0,2.9,15.83
7.35,3879,0.22,0.77,5.77,8.85
8.43,3429,0.63,0.7,3.27,15.27
3.13,2704,0,0,2.95,14.25
4.4,2975,0,0,3.07,20.93
4.2,3089,0,0,4.38,12.92
3.27,2785,0.05,0.08,2.88,20.42
3.98,2926,0,0,3.43,12.9
2.65,2645,0.03,0.13,2.23,21.6
0.42,1120,0,0,0.35,12.02
4.03,2286,0,0,2.73,21.27
4.47,2306,0,0,2.67,21.33
0,1776,0,0,0,24
2.95,1527,0.05,0.1,1.47,14.55
5.2,2115,0,0,0,24
5.5,2135,0.13,0.25,1.6,20.57
6.88,2302,0.02,0.15,5.65,9.82
3.8,1985,0,0,3.8,12.53
3.18,1884,0,0,3.23,12.07
0.02,1464,0,0,0.05,22.72
1.55,1632,0.02,0.15,0.97,13.73
5.99,2200,0,0,5.18,10.07
6.01,2220,0,0.3,5.1,11.18
2.48,1792,0,0,0.57,21.08
3.02,1886,0.02,0.32,2.93,11.82
3.31,1945,0,0,3.88,9.1
2.74,1880,0.02,0.08,3.18,11.53
6.21,2314,0,0.13,6.5,9.07
6.64,2236,0.13,0.35,4.8,10.82
7.23,2324,0.1,0.78,5,11.33
7.28,2367,0.22,0.13,5.98,9.2
5.36,2175,0.1,0.3,4.82,10.4
5.52,2092,0.1,0.63,3.27,11.58
0.84,1593,0,0,1.12,13.93
6.24,2270,0,0.18,5.73,9.75
6.47,2235,0.13,0.43,4.78,11.15
7.02,2282,0.13,0.22,5.22,18.43
9.49,2530,0.45,0.57,5.47,15.95
6.42,2266,0.1,0.18,5.23,11.53
5.33,2158,0.05,0.47,4.65,9.77
2.46,1792,0,0,2.55,10.05
6.96,2345,0.03,0.23,6.23,8.17
6.37,2260,0.05,0.2,5.48,9.25
6.13,2232,0.05,0.3,5.18,9.57
0.01,257,0,0,0.03,0
7.78,2955,0,0,0,24
8.45,3092,0.02,0.23,2.5,21.25
6.82,2998,0.17,0.58,3.65,15.75
6.73,3066,0,0,4.98,13.95
5.06,3073,0.1,0.15,4.22,10.15
3.58,2572,0,0,3.35,12.02
9.1,3274,0.45,0.13,3.98,16.95
7.83,3015,0.33,0.27,4.15,11.73
8.12,3083,0.32,0.7,3.8,11.6
7.73,3069,0.12,0.2,4.53,14.22
9.34,3544,1.28,0.42,3.67,15.75
10.18,3306,0.97,0.08,3.58,12.48
7.88,2885,0.23,0.13,3.98,9.73
9.97,3288,0.18,0.52,5.02,17.57
7.28,2929,0.23,0.38,3.73,11.22
8.61,3074,0.18,0.8,4.02,11.4
7.75,2969,0.32,0.15,3.9,14.63
7.1,2979,0.22,0.27,3.93,19.58
9.64,3283,0.23,0.72,5,8.95
7.89,2926,0.2,0.25,4.02,9.65
8.4,3147,0.55,0.07,3.4,15.58
9.79,3290,0.3,0.3,5.1,16.4
9.52,3162,0.58,0.35,4.18,10.53
7.38,2899,0.2,0.65,3.32,14.93
10.13,3425,0.55,0.75,4.37,18.33
17.54,4022,2,0.93,4.33,8.47
14.38,3934,1.78,0.63,2.97,9.6
7.86,3013,0.1,0.32,4.3,17
7.92,3061,0.22,0.23,4.45,10.8
7.84,2954,0.13,0.3,4.27,14.3
2.59,1623,0,0,1.8,13.75
2.2,2113,0,0,3.27,13.12
1.99,2095,0,0,3.23,14
2.67,2194,0,0,3.85,11.95
4.83,2496,0,0,5.83,11.85
2.65,2180,0,0,3.75,11.93
1.52,1933,0,0,1.9,20.32
4.24,2248,0.42,0.1,2.7,20.78
1.39,1954,0,0,2.02,14.92
1.39,1974,0,0,2.28,14.02
2.56,2150,0,0,3.58,12.6
4.58,2432,0,0,5.28,11.77
2.93,2149,0,0,3.35,20.65
3.36,2247,0,0,4.07,19.93
2.27,2070,0,0,2.98,15.27
4.41,2291,0.48,0.02,3,13.98
5.03,2361,0.53,0.02,3.23,13.98
3.01,2203,0,0,3.93,12.7
3.14,2196,0,0,3.77,18.43
4.18,2363,0,0,4.83,13.28
3.51,2246,0,0,4,12.35
4.75,2336,0.45,0.07,3.33,11.12
5.18,2421,0.5,0.03,3.88,12.08
1.96,2070,0,0,3,14.95
2.55,2120,0.03,0.1,3.08,12.23
3.03,2211,0,0,3.82,13.48
3.59,2123,0.43,0.07,1.8,14.43
4.9,2423,0,0.13,5.13,12.22
3.54,2281,0,0,4.43,10.68
2.63,2181,0,0,3.85,13.05
6.11,2499,0.57,0.37,3.87,10.37
0.52,1212,0,0,0.97,6.33
3.39,1909,0,0,5.3,18.7
3.29,1722,0.32,0.12,2.12,21.45
4.49,1922,0,0,4.65,19.35
5.15,2121,0.28,0.5,4.37,18.85
4.82,1997,0.13,0.2,5.13,18.53
6.4,2117,0.12,0.32,5.07,18.5
5.91,2116,0.23,0.25,5.52,18
3.57,1876,0.02,0.15,4.13,19.7
3.17,1788,0,0,3.7,20.3
9.08,2486,0.1,0.35,7.2,14.07
6.35,2094,0.33,0.42,4.55,18.7
4.55,2085,0.08,0.08,5.13,18.7
5.66,2173,0,0,6.58,17.42
5.35,2225,0.3,0.17,5.67,16.55
6.05,2223,0.2,0.68,4.72,17.7
6.32,2098,0.45,0.23,5.2,18.12
6.25,2185,0.02,0.18,6.12,16.42
5.18,1918,0.25,0.48,3.28,18.27
6.82,2105,0.12,0.48,4.88,18.52
2.27,1692,0,0,3.17,18.68
5.22,2066,0,0,6.38,17.62
3.48,1953,0.35,0.17,3.95,19.53
3.46,1842,0,0,4.2,19.8
7.01,2262,0.23,0.13,6.17,17.47
2.48,1722,0,0,3.37,20.63
5.44,1973,0.38,0.27,3.88,18.6
4.33,2666,1.1,0.58,3.97,16.98
7.57,2223,0.1,0.5,5.65,17.75
4.25,1889,0.18,0.3,3.67,19.85
6.02,2131,0.07,0.52,5.4,18.02
4.17,1452,0,0,4.12,12.27
5.88,2947,0,0,4.38,11.97
5.58,2898,0,0,4.3,12.95
6.37,2984,0,0,4.52,12.87
5.28,2896,0.02,0.13,4.27,15.73
9.03,3328,0.05,0.4,5.58,9.27
10.29,3394,0.2,1.1,5.03,7.28
7.38,3013,0.37,0.5,3.18,14.83
5.44,2812,0.17,0.13,2.98,12.62
7.13,3061,0.03,0.48,4.33,11.95
5.3,2729,0.07,0.68,2.4,15.02
1.35,2241,0,0,1.2,22.35
12.27,3691,0.15,1.1,6.8,7.82
12.22,3538,0.25,1.58,4.68,9.03
7.43,3064,0.1,0.25,4.5,12.17
4.95,2784,0.02,0.13,3.6,12.75
5.72,2908,0.02,0.27,3.97,12.22
7.32,3033,0.23,0.15,3.87,12.3
8.05,3165,0.2,0.32,4.45,11.53
8.23,3115,0.07,0.6,4.38,12.13
0,2017,0,0,0,24
5.92,2859,0.08,0.67,3.25,18.85
7.67,3145,0,0,5.22,12.15
6.62,3004,0.07,0.25,4.18,12.62
6.99,3006,0.13,0.08,4.02,12.42
5.63,2859,0.02,0.27,3.45,11.37
11.65,3683,0.08,0.77,7.32,9.62
10.43,3287,0.15,2.08,3.2,16.98
6.68,2990,0,0.2,4.22,12.43
8.61,3172,0.02,0.62,4.37,11.68
7.96,3069,0.17,0.68,3.92,13.07
2.23,1240,0,0,1.13,4.02
7.57,2026,0.32,0.22,4.62,12.78
3.16,1718,0,0,3.77,10.78
11.12,2324,1.02,0.68,4.27,11.55
10.86,2254,0.97,0.63,3.98,11.48
3.77,1831,0,0,4.8,8.68
0.43,1397,0,0,0.77,15.72
2.43,1683,0,0,3.43,10.37
10.11,2284,1.15,0.47,4.15,12.6
1.77,1570,0,0,2.47,9.97
8.06,2066,0.78,0.7,2.95,13.35
7.63,2105,0.42,0.27,4.5,13.02
2.69,1776,0,0,4.53,7.38
1.18,1507,0,0,1.73,9.7
7.19,2033,0.85,0.18,3.35,12.2
7.76,2093,0.67,0.3,3.97,12.5
6.88,1922,0.27,0.27,3.43,12.42
7.63,1999,0.82,0.22,2.75,12.12
8.33,2169,0.77,0.25,4.5,11.82
0.78,1463,0,0,1.4,8.43
3.37,1747,0,0,3.95,7.27
6.38,1996,0.38,0.15,3.78,12.07
8.39,2116,0.43,0.48,4.12,13.53
2.77,1698,0,0,3.73,10.85
9.51,2156,0.73,0.48,4.02,11.53
6.29,1916,0.35,0.15,3.82,12.68
1.22,1494,0,0,1.6,15.03
4,1762,0.05,0.13,3.5,8.42
7.58,2272,0.98,0.37,4.18,11.12
10.71,2335,1.02,0.67,4.42,11.78
3.22,1693,0,0,3.25,10.47
2.04,741,0.13,0.1,0.8,3.7
6.08,3405,1.43,0.27,2.33,12.13
3.79,2551,0.25,0.18,2.4,12.93
6.42,4022,1.97,0.5,2.93,11.03
9.08,4005,1.92,0.9,3.32,11.58
10.66,4274,3.07,0.93,2.63,7.87
9.14,4552,3.33,0.62,2.65,8.75
7.39,3625,1.9,0.53,2.17,10.38
9.42,3501,1.8,0.38,1.85,12.22
6.22,3192,1.45,0.27,1.88,12.88
8.09,4018,1.83,1.23,2.92,11.17
6.85,3329,1.03,0.5,3.33,13.72
5.71,3152,0.4,0.4,3.72,10.45
11.78,4392,3.5,1.08,2.35,7.08
4.78,3374,1.02,0.63,3.57,12.38
3.98,3088,0.63,0.53,3.02,12.65
5.14,3294,1.05,0.27,3.17,12.88
7.43,3580,1.65,0.85,2.35,11.53
5.92,3544,1.62,0.6,2.75,12.32
9.24,4501,3.45,0.75,2.72,10.35
9.99,4546,3.23,1.2,2.97,8.32
5.56,3014,0.62,0.33,3.92,12.2
8.25,3795,1.62,0.13,3.53,9.67
3.89,2755,0.42,0.15,2.35,10.52
5.64,3004,0.75,0.35,2.38,19.22
3.7,2643,0.68,0.27,1.32,21.73
0,1819,0,0,0,24
0,1819,0,0,0,24
2.56,2489,0.57,0.18,1.17,18.32
6.65,3841,1.73,0.62,3.23,10.65
3.04,1665,0.75,0.25,1.05,4.28
0,1496,0,0,0,24
0,1496,0,0,0,24
0,1496,0,0,0,24
10.59,2865,0,0.1,8.55,15.35
10.91,2828,0.12,0.25,8.63,8.37
5.4,2225,0,0,5.2,11.7
3.91,2018,0,0,4.02,12.65
8.41,2606,0,0,8,7.08
8.02,2536,0.43,0.17,5.82,9.78
15.01,4900,0.18,0.32,4.9,9.65
6.2,2409,0,0,6.7,6.88
8.68,2651,0,0,8.53,7.8
5.76,2305,0,0,6.03,11.85
0,1497,0,0,0,24
7.21,2450,0,0.12,5.87,17.95
7.11,2576,0,0,7.63,6.95
2.6,1879,0,0,2.35,12.63
7.24,2560,0,0,7.68,7.98
5.28,2275,0,0,5.72,17.33
6.73,2361,0,0,6.62,8.75
3.73,2044,0,0,3.93,20.07
0,1496,0,0,0,24
2.26,1902,0,0,2.6,21.32
7.4,2636,0,0,8.12,7.98
2.68,1838,0,0,2.22,11.22
5.54,2469,0,0,6.87,7.6
5.53,2250,0,0,5.3,8.62
3.38,1248,0,0,3.28,2.08
3.45,2560,0,0,3.32,20.68
5.4,2905,0,0,5.83,18.17
5.8,2952,0,0,6.05,17.95
7.18,2896,0,0,5.47,18.53
6.28,2783,0,0,4.3,19.7
5.94,3171,0.52,0.2,3.75,19.53
5.21,2766,0,0,4.52,19.48
5.4,2839,0,0,5.35,18.65
4.81,2701,0,0,4.3,19.7
0,2060,0,0,0,24
4.72,2796,0,0,5.03,18.97
0,2664,0.55,0,0,23.45
4.46,2703,0,0,4.3,19.7
5.9,2771,0.13,0.05,4.15,19.67
0,2060,0,0,0,24
4.21,2743,0,0,4.78,19.22
4.33,2687,0,0,4.25,19.75
0,2060,0,0,0,24
5.1,2843,0,0,5.4,18.6
7.44,3327,0.13,1.58,4.7,17.58
5.13,2725,0,0,4.47,19.53
4.57,2671,0,0,4,20
4.41,2718,0,0,4.53,19.47
4.79,2682,0,0,3.98,20.02
4.62,2806,0,0,5.08,18.92
4.17,2613,0,0,3.78,20.22
5.83,2712,0,0,4.18,19.82
4.75,2175,0,0,4.4,13.33
0,0,0,0,0,24
0,1841,0,0,0,24
2.91,2400,0.28,0.3,1.42,17.55
3.7,2507,0.23,0.4,1.75,14.38
0.92,2127,0,0,0.97,16.27
3.39,2225,0.6,0.3,0.15,22.95
1.79,2067,0.08,0.4,0.32,23.2
5.95,2798,0.5,0.52,2.43,20.55
0,1841,0,0,0,24
7.72,3727,1.17,1.88,2.97,17.98
0,1841,0,0,0,24
0.46,1922,0,0,0.33,23.67
0,1841,0,0,0,24
1.54,2053,0.18,0.3,0.18,23.33
4.64,2484,0.55,0.22,1.53,21.7
5.27,2584,0.7,0.5,0.78,22.02
0,1841,0,0,0,24
0.5,1993,0.03,0.22,0.25,23.5
0,1841,0,0,0,24
1.79,2280,0.05,0.15,1.4,22.4
1.78,2319,0.15,0.57,0.83,22.45
0,1841,0,0,0,24
0.01,1843,0,0,0.02,23.98
0,1841,0,0,0,24
0,1841,0,0,0,24
3.37,2496,0.2,0.58,1.25,21.97
1.41,1032,0.03,0.08,0.82,9.18
6.74,1994,0.83,0.23,3.15,13.27
